,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,7gaA3wERFkFkgivjwbSvkG,"yes, and?",Ariana Grande,['Ariana Grande'],0.788,0.758,1,-6.513,1,0.198,8.5e-05,0.104,0.823,119.008,214994,4
1,17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,['Teddy Swims'],0.561,0.604,9,-4.409,1,0.199,1.9e-05,0.104,0.242,159.92,210689,3
2,0Z7nGFVCLfixWctgePsRk9,TEXAS HOLD 'EM,Beyoncé,['Beyoncé'],0.725,0.709,2,-6.514,1,0.588,0.0,0.135,0.353,110.024,235636,4
3,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Benson Boone,['Benson Boone'],0.472,0.471,10,-5.692,1,0.151,0.0,0.14,0.219,105.029,180304,3
4,3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,['Tate McRae'],0.75,0.733,6,-3.18,0,0.256,0.0,0.114,0.844,111.018,131872,1
5,1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,['SZA'],0.411,0.619,1,-6.834,1,0.62,0.0,0.11,0.337,177.937,186192,4
6,0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,['Noah Kahan'],0.662,0.488,9,-6.894,1,0.782,0.0,0.102,0.817,117.913,182347,4
7,6Qb7YsAqH4wWFUMbGsCpap,Training Season,Dua Lipa,['Dua Lipa'],0.815,0.582,5,-4.5,0,0.0365,1.45e-06,0.138,0.671,123.03,209488,4
8,4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,['Jack Harlow'],0.943,0.558,2,-4.911,1,0.0026,2.19e-06,0.0937,0.606,104.983,138411,4
9,52eIcoLUM25zbQupAZYoFh,redrum,21 Savage,['21 Savage'],0.624,0.74,2,-8.445,1,0.00529,0.000224,0.5,0.246,172.089,270698,4
10,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,"['The Weeknd', 'JENNIE', 'Lily-Rose Depp']",0.522,0.641,8,-6.287,1,0.0545,0.0,0.162,0.202,87.51,244685,4
11,5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,['Tyla'],0.673,0.722,3,-3.495,0,0.0856,0.0,0.137,0.519,117.187,200256,4
12,5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,['Kenya Grace'],0.628,0.523,11,-8.307,0,0.701,0.00274,0.219,0.416,169.982,172965,4
13,2Zo1PcszsT9WQ0ANntJbID,Feather,Sabrina Carpenter,['Sabrina Carpenter'],0.787,0.686,6,-4.37,0,0.0893,0.0,0.0927,0.836,123.51,185553,4
14,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),Ariana Grande,['Ariana Grande'],0.647,0.65,5,-8.278,1,0.0716,1.62e-05,0.0749,0.281,115.853,228639,4
15,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,['Doja Cat'],0.868,0.538,5,-8.603,1,0.269,3.34e-06,0.0901,0.732,99.968,231750,4
16,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,['Taylor Swift'],0.552,0.702,9,-5.707,1,0.117,2.06e-05,0.105,0.564,169.994,178427,4
17,1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,['Olivia Rodrigo'],0.511,0.532,5,-5.745,1,0.177,0.0,0.291,0.35,138.005,219724,4
18,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,['SZA'],0.559,0.551,5,-7.231,1,0.141,0.0,0.11,0.392,143.008,201800,4
